2025-04-02 09:16:40,228 INFO    MainThread:1217 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2025-04-02 09:16:40,229 INFO    MainThread:1217 [wandb_setup.py:_flush():76] Configure stats pid to 1217
2025-04-02 09:16:40,229 INFO    MainThread:1217 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2025-04-02 09:16:40,229 INFO    MainThread:1217 [wandb_setup.py:_flush():76] Loading settings from /root/autodl-tmp/intrinsic-source-citation/wandb/settings
2025-04-02 09:16:40,229 INFO    MainThread:1217 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-04-02 09:16:40,229 INFO    MainThread:1217 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-04-02 09:16:40,229 INFO    MainThread:1217 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/root/autodl-tmp/intrinsic-source-citation/train.py', 'program': 'train.py'}
2025-04-02 09:16:40,229 INFO    MainThread:1217 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2025-04-02 09:16:40,229 INFO    MainThread:1217 [wandb_init.py:_log_setup():528] Logging user logs to /root/autodl-tmp/intrinsic-source-citation/wandb/run-20250402_091640-h0cx1dgv/logs/debug.log
2025-04-02 09:16:40,230 INFO    MainThread:1217 [wandb_init.py:_log_setup():529] Logging internal logs to /root/autodl-tmp/intrinsic-source-citation/wandb/run-20250402_091640-h0cx1dgv/logs/debug-internal.log
2025-04-02 09:16:40,230 INFO    MainThread:1217 [wandb_init.py:init():568] calling init triggers
2025-04-02 09:16:40,230 INFO    MainThread:1217 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2025-04-02 09:16:40,230 INFO    MainThread:1217 [wandb_init.py:init():618] starting backend
2025-04-02 09:16:40,230 INFO    MainThread:1217 [wandb_init.py:init():622] setting up manager
2025-04-02 09:16:40,232 INFO    MainThread:1217 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-02 09:16:40,234 INFO    MainThread:1217 [wandb_init.py:init():628] backend started and connected
2025-04-02 09:16:40,240 INFO    MainThread:1217 [wandb_init.py:init():720] updated telemetry
2025-04-02 09:16:40,240 INFO    MainThread:1217 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2025-04-02 09:16:41,645 INFO    MainThread:1217 [wandb_run.py:_on_init():2220] communicating current version
2025-04-02 09:16:42,842 INFO    MainThread:1217 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.19.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-04-02 09:16:42,842 INFO    MainThread:1217 [wandb_init.py:init():804] starting run threads in backend
2025-04-02 09:17:00,450 INFO    MainThread:1217 [wandb_run.py:_console_start():2199] atexit reg
2025-04-02 09:17:00,450 INFO    MainThread:1217 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2025-04-02 09:17:00,450 INFO    MainThread:1217 [wandb_run.py:_redirect():2119] Wrapping output streams.
2025-04-02 09:17:00,450 INFO    MainThread:1217 [wandb_run.py:_redirect():2144] Redirects installed.
2025-04-02 09:17:00,451 INFO    MainThread:1217 [wandb_init.py:init():845] run started, returning control to user process
2025-04-02 09:17:00,467 INFO    MainThread:1217 [wandb_run.py:_config_callback():1324] config_cb None None {'num_nodes': 1, 'num_gpus_per_node': 1, 'node_name': 'unknown because NODENAME environment variable not set'}
2025-04-02 09:17:00,592 INFO    MainThread:1217 [wandb_run.py:_config_callback():1324] config_cb None None {'rank_zero_seed': 17}
